loan_amnt,term,int_rate,annual_inc,dti,credit_history_length,num_open_accounts,revol_util,delinq_2yrs,loan_status
3105,36,10.46,110306,27.43,15,13,82.5,0,0
23700,36,15.36,114108,36.41,25,6,85.83,4,0
21559,60,10.97,126984,25.56,26,5,46.36,2,0
28509,60,23.81,22204,38.14,25,1,78.43,1,0
28860,36,10.19,112769,35.26,22,3,94.69,4,0
12003,36,13.59,107265,23.38,29,1,27.52,0,0
22732,36,22.45,51131,33.35,19,11,39.8,3,0
26826,36,21.84,72428,25.7,1,5,93.15,1,0
31354,36,8.72,53870,3.14,4,5,33.82,2,1
14843,36,21.05,123547,29.62,14,12,91.39,4,0
7190,60,14.16,124918,3.8,14,11,98.1,4,0
18640,60,14.66,69067,23.76,3,13,66.18,1,0
4330,60,7.67,78585,28.11,28,6,81.69,0,0
20087,36,6.61,127011,2.66,17,8,74.95,2,0
25504,60,19.56,132217,9.23,3,10,69.95,1,0
8114,36,14.93,41607,36.63,16,12,30.69,3,0
14323,36,13.74,44968,24.65,14,1,5.71,2,0
11975,60,19.59,118934,9.85,20,4,34.31,4,0
12023,36,20.31,31908,27.63,29,10,66.69,1,0
22447,36,8.18,46423,23.87,13,11,10.25,4,0
25933,60,17.2,129151,20.06,15,1,1.19,4,0
24959,60,7.71,94707,39.05,14,9,13.97,4,0
1667,60,20.03,98257,27.34,24,11,71.57,0,0
30703,36,18.14,146282,15.02,25,7,97.28,4,0
10337,60,24.13,81215,32.0,19,7,98.31,3,0
20129,60,6.38,75835,35.38,6,12,49.4,3,0
32921,36,6.14,69429,5.01,10,5,86.94,2,0
34307,60,10.64,102152,8.02,27,7,73.68,4,0
28355,60,10.23,128048,8.65,15,12,50.1,4,1
5835,60,9.94,58458,27.65,21,2,57.28,1,0
21159,36,23.13,66169,24.12,22,14,13.72,0,0
14216,36,9.99,27659,24.76,20,13,93.77,2,0
32471,36,10.44,80614,37.63,26,4,35.19,4,0
18308,36,20.19,128905,31.04,6,14,44.61,1,0
28532,60,13.99,97240,5.12,23,14,67.17,0,0
6713,36,20.53,52793,13.9,25,7,33.39,2,0
5804,36,6.31,133688,17.42,10,3,25.43,2,0
11136,60,14.75,66473,15.84,7,2,63.1,4,0
1009,60,5.67,116762,26.77,22,10,2.5,2,0
20255,60,6.25,109388,35.68,17,2,72.07,1,0
24793,36,23.13,117618,12.24,18,13,51.4,2,0
30548,36,7.78,108330,22.08,17,1,60.58,3,1
2015,36,15.65,126956,31.58,9,5,63.19,1,0
28712,60,13.22,138452,16.65,10,12,52.71,0,0
9415,60,11.95,75751,6.72,10,6,58.25,0,0
24833,36,23.0,146311,19.0,25,6,68.38,4,0
5158,60,5.44,98915,2.21,7,9,75.31,4,1
21309,60,18.28,74254,37.7,16,4,72.75,3,1
7970,60,24.27,27006,2.99,29,1,86.96,0,0
7938,36,16.2,138171,17.54,18,6,18.94,0,1
22168,60,23.74,136682,21.2,6,5,40.11,0,0
21384,60,6.05,94218,39.41,27,10,94.78,0,0
19017,36,13.38,85344,6.64,20,6,39.66,2,1
11344,36,10.2,53840,4.58,1,3,12.49,1,0
9702,60,19.62,52430,0.35,1,2,52.54,1,0
1384,60,24.63,43091,6.22,12,6,10.95,3,0
1404,36,10.13,146053,8.29,21,13,20.29,2,1
30189,36,18.08,52983,25.22,28,1,99.83,0,0
13763,60,8.96,43989,8.79,2,7,54.14,0,1
19384,60,16.31,95451,0.82,4,7,28.41,4,0
33606,60,14.28,128088,33.06,17,10,99.48,4,0
10860,60,24.44,38990,14.62,4,13,96.66,3,1
16106,36,17.17,110270,14.15,11,7,44.07,0,0
24574,60,11.99,100360,12.1,22,12,26.04,3,1
24524,60,7.28,139469,39.01,26,11,83.84,2,0
4636,36,8.02,56081,6.8,4,10,71.56,1,0
11916,60,9.51,31033,35.93,1,1,68.69,0,0
5809,36,10.02,128272,31.07,7,4,89.31,2,0
33201,60,22.01,36241,3.06,18,13,68.94,0,0
14456,60,16.22,144932,39.47,9,7,28.38,4,1
18100,36,15.47,142451,10.85,29,11,69.39,3,1
22949,36,7.3,25939,3.94,3,9,30.58,4,0
5544,60,22.2,133000,33.17,8,5,75.92,1,1
27657,60,19.46,67562,28.27,29,13,61.97,4,1
8239,60,6.35,55063,24.69,24,2,7.74,0,0
15489,36,19.16,140373,6.24,19,7,51.28,4,0
29538,60,15.87,120000,19.14,4,10,34.33,0,1
33049,36,6.63,96721,31.22,18,1,32.86,1,0
9427,36,14.17,47045,12.14,20,7,60.23,4,1
25285,60,14.69,136634,12.47,27,6,32.23,3,1
23928,36,8.32,64769,0.13,11,7,77.69,3,1
20198,60,23.91,67118,6.97,27,14,7.08,3,0
20758,60,22.0,104703,35.02,14,13,66.04,4,0
16254,60,18.38,121948,17.67,25,10,80.92,4,0
2252,60,14.25,41625,39.37,18,3,67.28,4,0
13173,60,13.24,124724,15.83,28,3,49.72,0,0
27698,36,18.02,148557,28.61,28,7,95.03,1,0
16781,36,15.91,47076,11.28,29,13,29.99,3,0
14051,60,6.25,142245,14.55,16,2,1.92,0,1
7949,60,15.25,84805,7.63,3,1,43.2,3,0
9017,36,21.13,64605,13.88,15,9,3.3,0,0
7941,36,14.18,104565,21.89,27,9,95.39,4,0
26934,36,6.04,108509,39.67,27,7,20.99,3,0
24386,36,20.73,59121,26.57,4,7,78.89,4,0
11209,60,9.03,85101,7.97,5,3,77.46,3,0
18715,60,10.17,51433,1.8,17,10,21.77,2,0
29920,36,8.29,63309,5.05,7,2,62.12,0,0
32703,60,11.6,87468,22.5,16,11,4.81,2,0
5637,36,20.14,64254,30.61,14,7,48.36,0,1
5854,60,15.39,87293,37.62,26,9,1.46,1,1
20856,36,9.1,116258,0.63,16,1,92.11,3,1
22833,60,22.56,57853,20.91,7,13,97.61,1,1
20963,36,22.59,58405,18.83,9,14,22.23,1,1
28169,36,22.41,86652,26.24,4,4,20.81,0,1
8941,60,9.78,63527,22.38,22,6,75.37,2,0
15388,36,14.02,97227,27.48,11,7,25.34,4,0
6569,60,24.7,20492,26.32,2,10,89.51,0,0
5300,60,20.44,113418,4.68,12,7,57.39,4,0
13015,36,5.54,28811,31.99,12,10,35.08,1,0
7254,60,6.3,113344,4.93,4,2,83.27,4,0
18144,60,14.28,44272,27.94,18,14,49.34,2,1
25214,60,23.18,113935,16.65,26,4,91.16,0,1
16183,60,15.77,92010,20.55,21,5,92.8,2,0
7238,60,14.96,112492,36.13,7,14,16.54,2,0
7090,36,7.11,67153,35.6,29,12,0.23,0,1
12637,60,18.14,128042,32.71,1,1,98.39,2,0
23415,60,21.44,74110,20.41,26,1,90.61,3,0
25071,60,12.61,33979,29.45,26,10,5.54,3,0
19271,60,20.51,130059,20.52,23,3,83.3,3,0
34434,60,24.29,128101,34.78,26,10,45.78,4,0
5188,36,9.08,48328,16.11,13,3,25.9,2,1
11161,60,15.47,132911,38.81,6,12,87.87,0,0
29732,36,10.74,32867,37.29,6,8,19.67,0,0
12314,36,20.86,79234,29.66,12,9,94.73,4,0
24954,36,16.55,45851,11.18,8,14,20.56,0,0
22508,36,17.69,51279,5.27,24,11,61.37,3,1
22969,60,20.96,137431,34.19,22,12,22.31,2,0
24061,36,12.92,116063,6.61,19,1,54.57,0,0
14716,36,23.3,93402,34.17,5,14,68.4,0,0
17907,60,15.66,35449,19.63,18,11,19.02,1,0
19777,60,8.16,96221,16.26,5,2,52.09,1,0
28693,60,18.92,109080,36.13,25,10,46.91,1,0
27329,36,20.87,25451,24.15,10,2,7.1,2,0
17282,60,11.34,107178,23.06,1,4,81.83,3,0
24624,60,22.14,61316,22.35,10,2,33.57,3,0
24321,36,23.12,83064,14.85,5,7,57.46,3,1
11488,60,10.54,83761,31.43,12,13,51.48,2,1
23574,60,24.67,125490,10.11,22,9,51.33,2,0
6240,60,7.81,58870,37.56,27,7,10.72,1,0
11478,60,9.04,116566,35.76,7,12,42.35,0,0
20262,36,8.68,143749,13.5,9,6,45.24,4,1
5432,60,22.88,143765,29.18,22,10,73.36,4,0
30721,60,18.09,144881,22.93,21,1,84.0,0,0
14568,36,8.04,50873,13.51,12,11,54.5,1,0
15178,60,13.81,148389,39.54,23,10,8.68,0,1
23195,36,17.31,78627,1.01,29,9,23.68,0,0
1302,60,6.67,86155,10.11,1,5,16.49,4,0
18022,36,22.65,119186,20.8,11,11,12.46,1,0
1055,36,21.07,45372,20.88,21,5,36.59,2,0
9717,36,15.1,23642,23.56,15,6,22.94,4,0
29699,36,24.34,149148,30.07,2,9,21.83,2,1
9150,60,13.36,48001,24.94,20,13,5.47,1,1
3125,36,24.68,54064,24.01,7,8,1.77,0,0
17748,60,18.36,114826,2.14,21,8,10.28,3,1
5621,36,17.69,34122,15.06,12,14,17.22,3,0
16034,36,8.32,44820,9.28,22,8,43.1,1,0
6126,36,22.64,88431,10.61,18,1,51.05,3,0
6122,60,13.55,75745,22.17,3,1,14.06,2,1
19030,36,8.24,70081,7.98,7,8,42.48,3,0
18302,60,5.25,90902,11.76,11,5,34.17,1,0
20181,60,16.2,28711,9.48,18,9,18.34,1,1
2531,60,15.55,105132,37.94,12,2,0.68,2,0
24333,60,19.39,38793,37.79,6,9,46.7,3,0
9152,60,22.81,28199,24.4,5,12,68.57,3,0
11267,60,6.59,96253,36.98,26,14,22.63,0,0
26289,60,19.63,56191,31.43,1,8,13.18,4,1
2062,60,8.75,30211,23.6,12,9,88.7,1,0
30926,60,22.16,131086,0.26,27,4,27.5,0,0
7229,36,21.38,83069,30.9,26,1,22.36,1,0
5632,36,15.82,108896,28.1,11,1,85.71,0,0
4596,36,19.2,76746,24.61,4,5,81.71,4,0
7168,36,11.29,41542,30.42,27,2,44.83,0,0
8561,36,14.42,51312,20.52,18,14,48.92,1,1
9258,60,21.43,65242,28.16,4,8,21.77,3,0
17616,60,14.19,121971,37.41,17,10,7.83,1,0
27734,60,12.16,113783,15.03,2,11,57.34,2,0
7371,60,14.88,145681,28.32,29,5,9.83,2,0
27069,60,21.56,107893,19.03,24,5,44.93,2,0
15369,60,11.7,75388,26.98,22,2,94.05,2,0
13910,60,8.48,126581,30.52,2,7,95.28,4,1
8943,36,19.24,47691,1.82,12,13,23.93,3,0
13199,36,21.52,97960,25.86,6,8,62.41,3,0
16728,36,7.01,104388,9.07,10,10,47.41,1,0
24275,36,9.8,42601,26.8,25,13,87.57,0,1
7738,60,7.84,138307,18.73,23,1,27.14,1,0
16913,60,11.96,38020,30.94,25,2,0.37,1,0
20123,60,14.01,28155,4.94,21,10,16.26,1,0
11167,36,19.98,89119,25.05,23,4,34.95,1,0
11554,60,18.02,101051,11.14,27,5,31.57,3,0
18260,60,17.42,56777,34.12,16,13,79.14,0,1
4812,60,12.05,39710,37.14,14,2,68.06,1,0
29024,36,21.83,128714,39.86,7,1,29.96,3,0
28285,60,14.43,44532,31.84,28,9,45.77,1,0
27900,36,24.58,148727,30.15,28,14,9.56,2,0
2605,36,17.68,38601,8.62,19,1,89.81,1,0
6622,36,7.53,83227,13.44,23,13,93.54,1,0
7767,36,18.52,24967,18.63,17,4,97.98,4,0
28139,60,11.5,104289,30.94,9,2,86.86,2,0
12613,36,18.73,40022,36.6,26,11,17.4,0,0
11589,36,6.39,63463,7.57,13,4,4.62,1,0
14918,60,8.5,94671,36.89,22,8,57.96,0,1
21119,60,22.11,25722,27.82,5,8,91.26,2,0
28446,36,9.54,47413,24.43,23,11,17.74,1,0
14046,60,21.74,112772,7.99,5,12,0.7,4,1
25818,36,10.59,101050,2.22,10,9,80.55,3,0
5324,36,17.86,129432,22.74,21,13,7.68,4,1
11787,36,18.88,122748,26.06,27,11,41.37,4,1
10111,36,15.25,125922,8.43,10,12,67.89,3,1
17389,60,11.11,105867,22.26,27,5,23.68,3,1
15043,36,9.25,103596,34.26,7,7,8.4,3,0
29746,60,5.66,86732,33.4,26,3,77.0,1,0
23350,60,11.08,32297,37.09,15,10,63.02,0,0
1117,60,18.06,88323,14.64,7,4,98.85,0,0
19935,60,23.77,43816,12.72,29,10,34.43,3,0
14234,36,22.42,144341,29.98,27,9,6.18,4,0
1846,60,20.32,60695,17.24,15,10,73.44,2,0
11954,36,20.77,39702,3.5,3,10,52.17,3,1
14703,60,18.3,45242,11.31,19,14,21.32,4,1
23700,60,10.21,75841,16.74,10,12,78.17,4,1
33043,36,23.14,148498,11.7,28,1,20.38,1,0
7469,36,18.41,87712,13.29,29,2,26.07,1,1
31105,36,16.21,105663,11.75,15,5,9.25,0,1
27386,60,7.22,127096,1.66,3,3,39.94,0,0
3048,60,13.94,112764,25.48,6,2,41.89,2,0
13941,36,14.21,73574,23.89,12,1,51.46,2,1
2828,36,22.29,105744,26.14,15,10,70.9,2,1
2917,36,15.93,48482,7.69,6,3,90.61,2,0
21618,36,12.61,29171,11.83,13,1,13.77,4,0
33254,60,24.54,120755,24.78,29,12,5.43,4,0
21128,36,7.21,118932,23.99,19,1,1.85,0,0
1009,36,13.45,128125,20.25,3,12,14.36,1,1
17644,36,5.84,126082,14.02,8,1,65.79,1,1
23422,36,19.8,23696,36.52,8,8,72.75,3,0
10865,60,23.36,146310,13.59,23,3,78.65,4,0
3219,36,10.6,40058,18.22,26,11,24.37,2,0
6287,60,22.17,40313,27.12,20,1,30.59,2,0
9512,36,10.84,39149,21.72,15,7,48.31,3,0
2342,36,23.22,73521,13.88,4,10,6.32,1,0
20216,60,20.08,65740,17.43,19,3,61.11,2,0
28534,36,21.1,126611,31.78,21,8,98.37,1,0
15231,60,5.36,24956,11.13,3,4,36.08,3,0
33293,60,24.26,95731,5.69,13,4,75.28,1,0
27614,36,19.53,102612,12.53,8,5,50.0,1,0
29253,60,11.1,137850,33.98,23,6,12.78,1,0
18988,60,21.59,86641,3.56,16,7,58.22,2,0
32037,60,10.63,83811,39.67,13,14,29.99,0,1
13219,60,22.46,72160,21.64,3,14,3.44,4,1
1235,60,7.25,71313,39.39,16,4,63.49,1,1
2908,60,19.07,83232,37.56,9,8,85.89,1,1
9567,60,15.81,35417,18.11,28,13,34.48,1,0
6256,60,6.93,44729,7.94,14,6,39.03,0,0
20019,36,9.84,132492,6.6,13,14,89.1,3,0
9162,36,5.25,50099,9.6,21,1,81.36,2,1
6415,60,14.38,138387,28.41,25,1,71.5,0,1
6951,36,11.03,118134,10.92,7,9,24.88,1,0
22852,60,16.97,49961,13.66,15,10,91.02,0,0
9007,60,10.94,32602,17.95,7,6,15.44,0,0
31523,36,11.0,138474,36.53,6,10,62.68,0,0
24325,60,19.86,29256,7.58,2,8,2.88,3,0
22204,60,5.96,106120,0.2,9,13,64.37,4,0
16524,60,23.06,132516,2.4,22,7,27.71,2,0
20282,60,22.05,54681,36.19,24,12,44.97,3,0
24930,36,18.36,111328,25.9,17,6,34.53,3,0
1077,60,16.86,107440,10.92,5,4,17.28,4,0
21611,60,22.85,84789,7.09,12,7,62.2,3,1
17984,60,8.71,63361,11.77,1,9,88.2,0,0
15060,36,6.58,84503,4.59,10,14,95.91,0,1
18449,60,9.79,54540,37.66,11,11,19.23,1,1
19520,36,20.89,46536,31.37,16,10,71.74,3,0
10510,36,5.69,104700,18.5,14,10,66.43,1,0
30287,60,16.66,83043,34.6,8,14,34.34,2,0
29173,60,24.91,98532,9.98,24,7,1.91,0,0
12954,36,22.11,76575,28.68,17,1,68.98,2,1
8804,60,15.43,147626,34.25,25,10,94.55,4,0
7565,36,6.27,22871,14.27,18,9,63.21,0,1
6984,36,21.63,66002,30.3,12,13,43.53,2,0
22526,60,16.98,69812,11.8,25,4,52.52,4,0
19574,60,7.3,42626,11.95,17,3,19.96,2,0
10184,36,6.88,79979,4.28,28,4,75.05,4,0
20096,36,23.19,96057,17.6,26,4,74.64,4,0
3192,36,18.38,146834,29.19,14,13,14.55,0,1
12246,36,21.59,128946,37.61,16,10,87.8,1,0
19381,60,22.58,86668,24.15,14,11,26.92,4,0
27727,60,16.44,119003,34.53,9,2,98.23,4,0
5018,60,15.35,100070,32.9,4,14,38.29,0,0
12302,60,13.61,109390,6.93,25,12,17.79,1,1
2970,60,11.34,62998,19.43,23,14,35.17,3,1
28202,36,13.69,83814,4.68,11,1,44.02,3,0
32110,60,20.48,124601,27.29,6,12,6.93,1,1
18586,60,17.04,65607,38.0,15,10,57.82,2,0
25519,60,22.85,27812,5.48,5,12,59.76,0,0
32273,60,13.87,81844,29.36,11,1,73.89,1,0
22951,60,17.14,90093,25.29,25,13,2.92,3,1
16374,36,17.63,22179,23.34,18,14,54.12,4,0
6788,36,16.83,63798,15.6,13,8,5.29,3,0
6408,36,19.05,94601,14.21,11,14,70.11,4,0
26053,60,9.75,28275,1.81,14,2,5.57,0,0
10446,36,15.25,70574,8.72,28,12,91.17,4,0
1922,36,7.08,67857,0.61,18,10,70.21,1,0
34187,60,12.69,145555,23.26,27,5,50.74,4,0
11789,60,14.75,121484,4.23,28,12,44.15,2,0
33184,60,18.04,40700,34.92,25,4,13.07,1,0
2120,36,24.01,146855,20.93,28,8,29.1,0,0
33154,36,17.01,59464,27.99,19,2,86.9,1,0
18334,60,19.87,62351,16.43,24,10,90.45,2,0
3336,60,15.13,113330,22.42,27,9,0.07,0,1
3243,36,17.68,114319,37.71,15,7,59.41,3,0
20029,36,6.42,102534,3.31,9,13,71.93,2,0
33265,60,10.09,33869,10.16,8,7,61.87,0,0
24710,60,12.24,80315,31.2,20,1,8.17,4,1
30486,36,14.45,130061,3.95,28,14,21.77,1,1
7371,60,5.91,113688,3.03,1,12,25.03,0,0
7359,36,7.8,40954,14.46,4,2,83.17,1,0
21103,36,10.54,51555,3.69,14,4,46.32,4,0
15382,36,24.43,83353,23.4,25,4,48.68,0,0
19755,36,11.63,102190,9.05,2,11,93.49,3,0
4756,60,14.64,65026,35.83,16,14,63.71,2,0
21609,60,8.92,120772,31.34,3,3,89.87,0,0
17478,36,17.22,66976,27.99,26,7,45.65,4,0
11147,36,10.61,100578,24.68,8,12,14.94,0,0
34561,36,9.14,111502,34.54,6,8,92.99,1,0
6779,36,15.33,133943,8.92,16,2,45.87,0,0
13298,36,5.11,129850,34.92,24,4,18.16,3,0
15153,60,5.15,65095,31.58,16,14,30.24,0,0
11789,60,9.38,34270,29.93,7,3,5.08,2,0
13999,60,5.73,50908,22.45,13,2,46.83,0,0
1814,60,7.16,35523,9.85,13,12,85.31,1,0
11541,36,11.78,82433,16.94,5,13,93.36,0,0
25938,36,21.05,67068,31.74,25,14,93.26,3,0
3443,36,16.44,39991,1.27,20,6,12.52,4,0
11457,36,15.25,30775,31.28,22,13,38.21,0,0
11380,36,10.87,97801,9.6,18,4,2.82,0,0
8783,60,23.64,104995,5.77,15,6,85.52,2,0
18368,36,12.94,81250,4.63,18,2,35.88,3,0
16328,60,6.74,36673,1.09,2,12,63.11,4,0
27215,60,17.34,142808,20.94,10,4,71.49,1,0
34595,60,7.28,47056,8.73,23,11,42.98,0,0
28306,60,11.9,26614,39.58,13,6,30.64,4,1
20915,36,15.15,121556,22.98,18,14,96.22,1,0
16343,60,22.48,27415,5.52,15,5,96.45,3,0
1126,60,14.87,108691,27.55,12,3,28.94,3,0
28632,60,19.05,134966,35.91,15,8,47.96,4,0
21530,36,24.86,63884,29.81,13,7,97.28,1,1
4368,36,7.63,36964,3.06,18,3,0.49,3,0
4797,36,10.49,57726,35.84,15,6,41.27,4,1
14718,60,12.89,143133,31.76,25,4,10.05,3,0
12053,60,13.44,57044,6.33,23,11,50.92,3,0
23116,36,13.22,77149,2.07,11,5,2.47,3,1
2645,60,23.15,57544,22.29,19,11,40.69,2,0
20256,36,19.28,69976,6.24,3,5,22.07,1,0
3708,36,17.16,52252,33.38,7,7,53.33,4,0
12694,60,11.19,23832,14.33,21,11,99.6,4,0
10524,60,21.48,110811,36.52,26,5,80.05,1,0
32880,60,24.1,100437,22.63,14,11,84.56,1,0
33409,60,21.42,123749,7.31,14,3,63.53,1,0
14224,36,5.03,54148,5.58,22,10,4.16,1,1
26150,36,17.73,81240,23.06,13,5,20.68,0,1
8973,36,6.02,128169,30.48,12,7,92.51,4,0
9577,36,10.15,145607,31.26,24,5,36.61,0,0
9070,36,6.19,108454,11.03,9,5,10.36,3,0
9666,60,17.08,132230,8.17,1,9,70.24,3,0
7783,36,18.73,148933,0.67,19,3,29.95,4,1
5971,36,7.29,105076,27.17,11,13,26.89,3,0
14490,36,12.68,97116,3.06,23,6,99.8,1,0
2990,60,14.12,73459,16.83,22,1,85.81,0,1
6299,60,12.38,58402,24.07,23,10,40.79,1,1
20956,60,7.42,77727,37.48,24,5,98.03,3,0
23359,60,13.38,58578,12.47,22,8,65.01,0,0
29734,36,20.02,110453,9.99,19,5,74.2,1,0
5757,36,6.42,42318,26.17,18,9,3.15,4,1
20097,60,6.6,95715,24.77,12,11,12.16,1,0
11395,60,12.1,97787,13.28,23,6,63.31,3,0
17241,36,23.83,131435,37.12,28,8,89.9,0,0
28696,36,18.37,105029,33.79,28,10,62.37,4,0
5944,60,18.57,40466,8.96,28,8,13.4,0,0
20816,60,12.24,115742,9.57,27,13,11.58,4,1
25917,60,16.87,65475,20.49,1,3,84.42,0,1
32195,60,5.2,80142,30.94,19,7,13.93,3,1
22566,36,17.72,105160,1.76,28,14,52.02,4,0
10916,36,23.27,46564,27.73,27,7,3.71,2,0
21806,36,17.25,42412,25.93,20,14,8.07,0,1
10984,60,22.47,113526,9.26,29,10,67.23,0,0
2759,60,19.48,71001,27.25,17,12,68.92,1,0
27838,36,7.41,77649,37.61,5,6,34.15,4,0
3482,36,23.05,80957,1.87,26,12,21.56,2,1
25442,36,6.33,55517,12.79,3,7,81.37,3,0
34719,36,15.68,33156,17.53,2,14,21.71,1,1
28965,60,7.84,43064,35.97,3,2,54.2,2,0
3079,36,5.23,45711,38.49,8,9,96.82,4,0
3717,36,13.44,50106,17.76,16,10,14.79,2,0
28952,36,10.9,85458,30.0,6,10,94.09,0,0
21908,36,14.72,36589,21.27,13,1,18.29,0,0
25861,36,16.54,109272,21.51,23,1,56.74,1,1
8311,36,5.87,106511,11.12,28,3,37.7,4,0
29071,36,7.46,121754,8.68,22,14,96.49,4,0
24570,60,16.17,27214,11.52,22,3,27.35,2,0
19449,60,11.86,116117,22.25,16,1,39.97,1,0
34536,60,19.58,105731,1.17,28,12,98.29,4,0
29865,60,18.05,130118,36.29,16,7,53.65,0,0
7645,36,21.91,146479,6.25,3,4,50.26,2,1
27737,60,18.85,47127,8.8,28,10,25.78,3,0
12485,60,13.6,25141,20.73,13,13,70.14,0,0
26522,36,18.46,48884,28.4,14,2,1.44,1,0
13342,36,10.51,110421,3.83,8,10,4.95,4,0
14087,60,11.13,22708,12.71,12,5,59.94,0,1
11093,60,20.78,38375,38.75,23,6,34.17,3,0
17438,36,13.93,35088,10.49,23,9,95.33,3,1
27399,60,20.97,77615,12.52,22,4,90.32,1,0
20846,36,21.45,130138,33.46,21,2,71.37,0,0
16708,36,22.15,65046,2.01,26,5,81.81,2,1
11998,36,23.33,30014,18.58,8,3,66.73,0,0
31678,36,13.62,84425,15.18,21,2,12.56,3,0
11682,60,11.38,23273,12.66,25,12,76.55,1,0
9519,36,16.64,67135,11.43,9,1,21.02,1,1
32480,36,12.42,122842,3.65,1,10,32.34,2,0
20694,60,17.02,50881,12.59,6,2,81.92,1,0
4300,36,19.11,117022,1.72,23,6,53.65,1,0
7722,60,18.77,98077,31.24,19,8,85.99,1,0
25160,60,12.49,28712,15.93,23,13,21.3,1,1
21059,60,8.34,94704,17.76,11,3,60.78,1,0
14575,36,13.61,72874,35.74,11,11,8.38,3,0
8970,60,7.85,89087,26.32,23,9,64.31,0,1
22591,60,22.8,32297,0.32,13,12,76.25,4,0
32821,36,11.92,129269,37.73,11,9,58.49,1,0
10503,60,8.09,47128,9.49,18,2,26.62,4,0
19922,60,5.51,88368,4.3,23,8,3.13,4,0
13175,60,17.92,114019,30.73,15,10,11.94,3,0
22389,60,17.74,107599,20.02,1,11,62.23,1,0
1822,60,11.81,108499,17.35,21,12,93.44,4,0
18327,36,6.43,98958,9.98,25,5,20.65,1,0
7150,60,13.19,52920,21.9,7,4,73.5,2,0
5425,60,11.22,140442,10.98,23,10,86.65,2,0
17032,36,18.54,31156,36.06,27,5,52.09,2,0
3198,36,17.12,31108,8.61,13,4,66.93,4,1
21079,36,12.29,51845,35.37,12,8,81.5,2,0
14859,60,9.36,22800,22.38,18,4,26.07,3,0
32419,36,24.76,148832,33.14,24,13,29.69,3,0
9705,60,14.08,123614,28.51,19,10,0.06,4,1
24236,60,18.77,62712,27.87,15,12,96.31,1,1
23419,36,7.81,22610,12.97,8,13,91.75,0,0
20978,36,14.71,97603,9.36,19,14,76.46,1,0
16358,60,5.55,53872,8.44,10,6,7.91,1,0
30378,36,15.11,30728,34.29,7,2,44.75,1,0
12382,60,24.28,115102,32.82,18,5,10.19,1,0
15596,36,12.68,115319,17.62,16,6,1.59,0,1
34572,36,5.78,142049,5.3,20,5,61.62,2,0
14221,36,5.62,40583,15.29,27,12,96.08,1,0
2279,60,12.76,105774,24.77,6,2,90.29,3,0
8083,36,8.2,27263,18.18,27,14,69.68,4,0
18771,60,5.47,146374,31.21,9,7,9.66,4,1
30975,60,20.12,87450,39.9,21,4,27.42,3,1
20063,60,14.17,109285,7.65,13,8,32.01,1,0
3106,60,10.78,39456,18.39,25,7,76.32,0,0
25557,36,23.0,111118,17.24,21,7,80.22,2,0
21607,60,7.32,85942,12.18,26,9,38.51,4,0
29529,60,24.12,33689,7.92,8,1,41.79,2,0
28856,36,11.28,52934,2.63,16,10,4.45,0,0
3573,60,22.77,53276,35.48,13,6,28.91,4,1
13808,36,17.06,136349,16.79,13,6,45.13,2,0
24752,60,21.53,149336,19.88,17,6,11.7,0,1
18685,36,24.68,121968,36.68,23,13,45.33,2,0
12372,60,10.77,39873,31.05,20,12,85.32,1,1
9996,36,24.22,33050,5.22,5,6,58.13,0,0
17458,60,12.79,86216,22.62,22,12,7.89,2,0
32889,60,12.71,104444,17.69,21,10,19.17,1,0
27665,36,11.81,104040,31.89,28,7,47.45,1,1
32653,36,15.83,41644,28.97,17,14,36.15,0,0
27657,36,8.08,82021,27.62,28,10,35.87,3,0
23180,36,16.07,57125,13.62,9,6,52.93,4,0
32896,60,15.83,86899,32.2,2,1,58.44,0,0
13875,60,20.24,62291,2.1,25,3,79.69,1,0
2622,36,21.67,55060,6.38,26,2,34.1,1,1
17725,60,13.81,21538,13.42,18,6,80.55,0,0
16646,36,11.05,56176,3.07,9,8,33.86,3,0
18029,36,10.19,142430,9.4,6,3,5.54,4,0
30402,60,8.89,61520,33.21,11,10,55.42,2,0
5263,60,6.15,45675,37.93,25,8,58.79,0,0
31987,60,11.85,38287,12.18,29,8,93.45,4,0
9646,60,10.4,20174,10.58,6,5,72.61,4,0
28529,60,24.33,112268,11.2,6,8,91.78,1,0
12664,60,16.15,54998,11.11,13,6,90.83,2,1
25027,60,11.95,122591,1.44,11,5,60.46,0,0
30373,36,16.61,73312,37.08,14,9,52.78,1,0
21609,36,7.78,32112,8.55,2,14,55.74,1,0
20250,36,13.88,125410,16.8,8,7,97.83,3,0
22172,36,17.52,95225,0.39,3,8,77.32,4,0
12555,36,14.78,64814,34.32,23,1,10.63,0,0
22874,60,13.04,105091,29.25,21,11,77.84,0,1
14081,36,24.88,70719,37.87,3,2,17.05,0,0
25063,36,22.61,149887,31.26,1,8,44.74,1,0
7819,36,17.47,53919,12.55,24,12,21.05,3,0
26712,36,16.39,93155,9.91,19,9,68.96,2,0
25762,36,17.41,91569,27.91,18,4,87.73,1,0
12046,36,9.03,61328,14.56,17,12,29.04,2,0
32463,36,12.9,90482,22.65,20,10,8.2,3,0
29769,60,5.79,44618,0.25,29,11,29.85,4,0
24150,60,14.51,54675,2.48,24,10,67.24,0,0
